CODE_DPTO,CODE_MUNICIPIO,DPTO,MUNICIPIO,LONGITUD,LATITUD
13,13620,BOLIVAR,SAN CRISTOBAL,-75.065534552,10.3928556679
13,13650,BOLIVAR,SAN FERNANDO,-74.3238659855,9.21417846743
13,13654,BOLIVAR,SAN JACINTO,-75.1210906283,9.8302177331
13,13655,BOLIVAR,SAN JACINTO DEL CAUCA,-74.7208279737,8.25173769531
13,13657,BOLIVAR,SAN JUAN NEPOMUCENO,-75.081354128,9.95345322129
13,13667,BOLIVAR,SAN MARTIN DE LOBA,-74.0390124624,8.93709261013
13,13670,BOLIVAR,SAN PABLO,-73.9241717171,7.47671911473
13,13673,BOLIVAR,SANTA CATALINA,-75.2877605206,10.6050569813
13,13688,BOLIVAR,SANTA ROSA DEL SUR,-74.0518401571,7.96287055719
13,13744,BOLIVAR,SIMITI,-73.9467782481,7.95442830168
13,13760,BOLIVAR,SOPLAVIENTO,-75.1364262581,10.3884564354
13,13780,BOLIVAR,TALAIGUA NUEVO,-74.5674682776,9.30401724098
13,13836,BOLIVAR,TURBACO,-75.424409165,10.332772802
13,13838,BOLIVAR,TURBANA,-75.4425018865,10.2744001934
13,13873,BOLIVAR,VILLANUEVA,-75.2751686679,10.4443304246
13,13894,BOLIVAR,ZAMBRANO,-74.8180006807,9.74628103898
15,15001,BOYACA,TUNJA,-73.3554896602,5.5399515492
15,15022,BOYACA,ALMEIDA,-73.378935594,4.97085237348
15,15051,BOYACA,ARCABUCO,-73.4375431565,5.75546754184
15,15087,BOYACA,BELEN,-72.9116162763,5.98928041246
15,15090,BOYACA,BERBEO,-73.1270304656,5.22728677682
15,15092,BOYACA,BETEITIVA,-72.809032309,5.90990555091
15,15097,BOYACA,BOAVITA,-72.5849675798,6.33065368603
15,15104,BOYACA,BOYACA,-73.3623009748,5.45423551545
15,15106,BOYACA,BRICENO,-73.9232607965,5.6908769735
